player,sign_from,Min
Bernd Leno,Bayer 04 Leverkusen,2649.0
Emiliano Martínez,Arsenal FC U21,411.0
Matt Macey,Arsenal FC U21,
Sokratis,Borussia Dortmund,1696.0
Calum Chambers,Southampton FC,1102.0
Shkodran Mustafi,Valencia CF,1117.0
David Luiz,Chelsea FC,2480.0
Rob Holding,Bolton Wanderers,311.0
Pablo Marí,Clube de Regatas do Flamengo,113.0
Kieran Tierney,Celtic FC,695.0
Sead Kolasinac,FC Schalke 04,1488.0
Héctor Bellerín,Arsenal FC U21,1075.0
Ainsley Maitland-Niles,Arsenal FC U23,1281.0
Cédric Soares,Southampton FC,89.0
Lucas Torreira,UC Sampdoria,1392.0
Granit Xhaka,Borussia Mönchengladbach,2271.0
Mattéo Guendouzi,FC Lorient,1748.0
Dani Ceballos,Real Madrid,1407.0
Joe Willock,Arsenal FC U23,749.0
Mesut Özil,Real Madrid,1438.0
Gabriel Martinelli,Ituano Futebol Clube (SP),663.0
Bukayo Saka,Arsenal FC U23,1589.0
Nicolas Pépé,LOSC Lille,1749.0
Reiss Nelson,Arsenal FC U23,548.0
Pierre-Emerick Aubameyang,Borussia Dortmund,2833.0
Alexandre Lacazette,Olympique Lyon,1581.0
Eddie Nketiah,Arsenal FC U23,509.0
