player,sign_from
Tom Heaton,Burnley FC
Lovre Kalinic,KAA Gent
Jed Steer,Norwich City
Örjan Nyland,FC Ingolstadt 04
Pepe Reina,AC Milan
Matija Sarkic,Aston Villa U23
Tyrone Mings,AFC Bournemouth
Björn Engels,Stade Reims
Ezri Konsa,Brentford FC
Kortney Hause,Wolverhampton Wanderers
Matt Targett,Southampton FC
Neil Taylor,Swansea City
Frédéric Guilbert,SM Caen
Ahmed Elmohamady,Hull City
James Bree,Barnsley FC
Marvelous Nakamba,Club Brugge KV
Douglas Luiz,Manchester City
John McGinn,Hibernian FC
Conor Hourihane,Barnsley FC
Henri Lansbury,Nottingham Forest
Jack Grealish,Aston Villa U23
Trezeguet,Kasimpasa
Anwar El Ghazi,LOSC Lille
Jota,Birmingham City
Wesley,Club Brugge KV
Mbwana Samatta,KRC Genk
Keinan Davis,Aston Villa U23
